OrderID,Date,Region,SalesPerson,Product,Units,UnitPrice,TotalSales,DiscountedSales
101,2024-01-06,South,Diana,Laptop,2,600,1200,1080.0
102,2024-01-30,South,Diana,Tablet,13,250,3250,2925.0
103,2024-01-26,East,Bob,Phone,1,300,300,270.0
104,2024-01-01,North,Diana,Laptop,7,600,4200,3780.0
105,2024-01-13,South,Charlie,Monitor,6,200,1200,1080.0
106,2024-01-12,East,Alice,Tablet,8,250,2000,1800.0
107,2024-01-03,West,Edward,Monitor,8,200,1600,1440.0
108,2024-01-14,North,Charlie,Phone,14,300,4200,3780.0
109,2024-01-20,North,Bob,Monitor,2,200,400,360.0
110,2024-01-07,South,Bob,Tablet,8,250,2000,1800.0
111,2024-01-25,West,Edward,Phone,14,300,4200,3780.0
112,2024-01-08,South,Charlie,Monitor,3,200,600,540.0
113,2024-01-07,East,Alice,Phone,13,300,3900,3510.0
114,2024-01-08,South,Bob,Laptop,3,600,1800,1620.0
115,2024-01-26,South,Alice,Tablet,5,250,1250,1125.0
116,2024-01-01,West,Diana,Monitor,9,200,1800,1620.0
117,2024-01-24,West,Edward,Headphones,15,100,1500,1350.0
118,2024-01-20,East,Edward,Laptop,15,600,9000,8100.0
119,2024-01-19,South,Alice,Laptop,8,600,4800,4320.0
120,2024-01-25,East,Diana,Phone,1,300,300,270.0
121,2024-01-26,West,Diana,Monitor,7,200,1400,1260.0
122,2024-01-31,North,Diana,Monitor,15,200,3000,2700.0
123,2024-01-28,East,Bob,Laptop,2,600,1200,1080.0
124,2024-01-31,North,Alice,Laptop,5,600,3000,2700.0
125,2024-01-14,East,Diana,Phone,12,300,3600,3240.0
126,2024-01-20,West,Charlie,Monitor,10,200,2000,1800.0
127,2024-01-03,South,Diana,Phone,7,300,2100,1890.0
128,2024-01-07,South,Diana,Phone,3,300,900,810.0
129,2024-01-07,West,Diana,Headphones,8,100,800,720.0
130,2024-01-18,East,Diana,Laptop,15,600,9000,8100.0
131,2024-01-24,North,Bob,Headphones,3,100,300,270.0
132,2024-01-26,North,Diana,Monitor,10,200,2000,1800.0
133,2024-01-06,North,Edward,Monitor,1,200,200,180.0
134,2024-01-04,South,Alice,Laptop,1,600,600,540.0
135,2024-01-05,East,Edward,Headphones,15,100,1500,1350.0
136,2024-01-28,South,Alice,Tablet,11,250,2750,2475.0
137,2024-01-19,West,Charlie,Monitor,4,200,800,720.0
138,2024-01-12,West,Charlie,Monitor,7,200,1400,1260.0
139,2024-01-27,West,Charlie,Headphones,12,100,1200,1080.0
140,2024-01-05,East,Edward,Tablet,10,250,2500,2250.0
141,2024-01-14,West,Charlie,Phone,8,300,2400,2160.0
142,2024-01-19,South,Diana,Laptop,1,600,600,540.0
143,2024-01-15,South,Diana,Laptop,1,600,600,540.0
144,2024-01-20,East,Charlie,Laptop,9,600,5400,4860.0
145,2024-01-03,South,Bob,Phone,12,300,3600,3240.0
146,2024-01-07,East,Bob,Phone,14,300,4200,3780.0
147,2024-01-25,South,Diana,Laptop,12,600,7200,6480.0
148,2024-01-16,East,Charlie,Laptop,11,600,6600,5940.0
149,2024-01-20,East,Edward,Tablet,9,250,2250,2025.0
150,2024-01-29,South,Bob,Monitor,1,200,200,180.0
